Reimbursement Invoices MUST be shipped in the order listed on the RI Packing Slip
Card Name,Set Name,Rarity,Number,Color,Condition,Quantity
"Hunter's Insight","Commander: Kamigawa: Neon Dynasty","U","119","Green","Near Mint","1"
"Shamanic Revelation","Commander: Kamigawa: Neon Dynasty","R","129","Green","Near Mint","1"
"Sly Instigator (Extended Art)","Commander 2021","R","359","Blue","Near Mint","1"
"Feldon of the Third Path","Commander 2019","M","141","Red","Near Mint","1"
"Rampaging Baloths","Commander 2019","R","176","Green","Near Mint","2"
"Magus of the Coffers","Commander 2014","R","148","Black","Near Mint","1"
"Champion's Helm (Borderless)","Commander Masters","R","654","Colorless","Near Mint","1"
"Commandeer","Commander Masters","R","80","Blue","Near Mint","1"
"Demonlord Belzenlok","Commander Masters","R","151","Black","Near Mint","1"
"Godo, Bandit Warlord","Commander Masters","R","227","Red","Near Mint","1"
"Jet Medallion","Commander Masters","R","395","Colorless","Near Mint","1"
"Loyal Apprentice","Commander Masters","U","240","Red","Near Mint","1"
"Swamp (445) (Retro Frame)","Commander Masters","L","445","Colorless","Near Mint","2"
"As Foretold","Double Masters 2022","M","38","Blue","Near Mint","1"
"Dack's Duplicate","Double Masters 2022","R","198","Blue;Red","Near Mint","1"
"Damnation","Double Masters 2022","R","73","Black","Near Mint","1"
"Deathbringer Liege","Double Masters 2022","R","200","Black;White","Near Mint","1"
"Bloodspore Thrinax","Double Masters","R","155","Green","Near Mint","1"
"Chrome Mox","Double Masters","M","240","Colorless","Near Mint","1"
"Crib Swap","Double Masters","C","12","White","Near Mint","1"
"Darksteel Forge","Double Masters","M","248","Colorless","Near Mint","1"
"Spoils of the Vault","Ultimate Masters","R","116","Black","Near Mint","1"
"Woodfall Primus","Ultimate Masters","R","195","Green","Near Mint","1"
"Path of Bravery","Iconic Masters","R","26","White","Near Mint","1"
"Flare of Cultivation (Retro Frame)","Modern Horizons 3","R","425","Green","Near Mint","1"
"Ugin's Labyrinth (Borderless)","Modern Horizons 3","M","359","Colorless","Near Mint","1"
"White Orchid Phantom","Modern Horizons 3","R","47","White","Near Mint","1"
"Damn (Retro Frame)","Modern Horizons 2","R","396","Black","Near Mint","1"
"Scalding Tarn (Extended Art)","Modern Horizons 2","R","478","Colorless","Near Mint","3"
"Chromatic Lantern (Retro Frame)","Ravnica Remastered","R","390","Colorless","Near Mint","1"
"Karlov of the Ghost Council","Ravnica Remastered","M","193","Black;White","Near Mint","1"
"Phytohydra","Ravnica Remastered","R","210","Green;White","Near Mint","2"
"Grapeshot","Dominaria Remastered","C","125","Red","Near Mint","1"
"High Tide (Retro Frame)","Dominaria Remastered","U","286","Blue","Near Mint","1"
"Wild Growth","Dominaria Remastered","C","184","Green","Near Mint","2"
"Worldgorger Dragon","Dominaria Remastered","M","148","Red","Near Mint","1"
"Archghoul of Thraben","Innistrad: Double Feature","U","360","Black","Near Mint","1"
"Florian, Voldaren Scion","Innistrad: Double Feature","R","223","Black;Red","Near Mint","1"
"Infestation Expert","Innistrad: Double Feature","U","473","Green","Near Mint","1"
"Katilda, Dawnhart Martyr","Innistrad: Double Feature","R","288","White","Near Mint","1"
"Laid to Rest","Innistrad: Double Feature","U","474","Green","Near Mint","1"
"Old Stickfingers","Innistrad: Double Feature","R","234","Black;Green","Near Mint","1"
"Pithing Needle","Innistrad: Double Feature","R","257","Colorless","Near Mint","1"
"Ferrous Lake","Universes Beyond: Fallout","R","148","Colorless","Near Mint","2"
"Mystic Forge","Universes Beyond: Fallout","R","236","Colorless","Near Mint","1"
"Rose, Cutthroat Raider","Universes Beyond: Fallout","R","66","Red","Near Mint","5"
"Secure the Wastes","Universes Beyond: Fallout","R","171","White","Near Mint","1"
"Securitron Squadron","Universes Beyond: Fallout","R","23","White","Near Mint","4"
"Delighted Halfling (Showcase Scrolls)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","609","Green","Near Mint","1"
"Island (0275)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","L","275","Colorless","Near Mint","1"
"Mirkwood Bats (Borderless)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","C","421","Black","Near Mint","3"
"Shelob, Child of Ungoliant","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","230","Black;Green","Near Mint","1"
"Tom Bombadil (Showcase)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","331","Black;Blue;Green;Red;White","Near Mint","1"
"Argothian Elder","The List Reprints","U","233","Green","Near Mint","1"
"Contamination","The List Reprints","R","123","Black","Near Mint","2"
"Deep Reconnaissance","The List Reprints","U","236","Green","Near Mint","1"
"Doomsday","The List Reprints","R","","Black","Near Mint","1"
"Inquisition of Kozilek","The List Reprints","U","75","Black","Near Mint","1"
"Maelstrom Archangel","The List Reprints","M","115","Black;Blue;Green;Red;White","Near Mint","2"
"Magnigoth Treefolk","The List Reprints","R","82","Green","Near Mint","1"
"The Chain Veil","The List Reprints","M","215","Colorless","Near Mint","1"
"The Mending of Dominaria","The List Reprints","R","173","Green","Near Mint","2"
"The Mirari Conjecture","The List Reprints","R","57","Blue","Near Mint","1"
"An Offer You Can't Refuse","Pro Tour Promos","P","7","Blue","Near Mint","12"
"Thing in the Ice","Pro Tour Promos","P","3","Blue","Near Mint","2"
"Thraben Inspector","Pro Tour Promos","P","3","White","Near Mint","1"
"Razorlash Transmogrant","Promo Pack: The Brothers' War","R","122","Black","Near Mint","1"
"Sheoldred, the Apocalypse","Promo Pack: Dominaria United","M","107","Black","Near Mint","1"
"Jin-Gitaxias, Progress Tyrant","Promo Pack: Kamigawa: Neon Dynasty","M","59","Blue","Near Mint","1"
"Cubwarden","Promo Pack: Ikoria","R","7","White","Near Mint","1"
"Kroxa, Titan of Death's Hunger","Promo Pack: Theros Beyond Death","M","221","Black;Red","Near Mint","1"
"Tymaret Calls the Dead","Promo Pack: Theros Beyond Death","R","118","Black","Near Mint","1"
"Artifact Mutation","Secret Lair Drop Series","R","269","Green;Red","Near Mint","1"
"Cultivate","Secret Lair Drop Series","R","246","Green","Near Mint","1"
"Forest (109) (Bob Ross)","Secret Lair Drop Series","R","109","","Near Mint","1"
"Hokori, Dust Drinker (Borderless)","Secret Lair Drop Series","R","420","White","Near Mint","1"
"Sower of Temptation","Secret Lair Drop Series","R","120","Blue","Near Mint","1"
"Mite Overseer","Phyrexia: All Will Be One","R","404","White","Lightly Played","1"
"In the Trenches","The Brothers' War","M","8","White","Lightly Played","1"
"Body of Research","Strixhaven: School of Mages","M","168","Blue;Green","Lightly Played","1"
"Castle Garenbrig","Throne of Eldraine","R","240","Colorless","Lightly Played","2"
"Human Warrior Token","Throne of Eldraine","T","13","","Lightly Played","1"
"Ravager Wurm","Ravnica Allegiance","M","200","Green;Red","Lightly Played","1"
"Demonlord Belzenlok","Dominaria","M","86","Black","Lightly Played","1"
"Djeru, With Eyes Open","Hour of Devastation","R","10","White","Lightly Played","2"
"Noosegraf Mob","Eldritch Moon","R","98","Black","Lightly Played","1"
"Stone Haven Outfitter","Oath of the Gatewatch","R","37","White","Lightly Played","1"
"Descent of the Dragons","Dragons of Tarkir","M","133","Red","Lightly Played","1"
"Goblin Kaboomist","Magic 2015 (M15)","R","144","Red","Lightly Played","1"
"Kalonian Twingrove","Magic 2015 (M15)","R","182","Green","Lightly Played","1"
"Hypnotic Siren","Journey Into Nyx","R","42","Blue","Lightly Played","4"
"Megantic Sliver","Magic 2014 (M14)","R","185","Green","Lightly Played","1"
"Breeding Pool","Gatecrash","R","240","Colorless","Lightly Played","1"
"Epic Experiment","Return to Ravnica","M","159","Blue;Red","Lightly Played","2"
"Smallpox","Magic 2012 (M12)","U","108","Black","Lightly Played","1"
"Shattered Angel","New Phyrexia","U","23","White","Lightly Played","1"
"Magosi, the Waterveil","Zendikar","R","218","Colorless","Lightly Played","6"
"Fight to the Death","Alara Reborn","R","97","Red;White","Lightly Played","1"
"Crib Swap","Lorwyn","U","11","White","Lightly Played","1"
"Faceless Butcher","Timeshifted","S","43","Black","Lightly Played","1"
"Threaten","9th Edition","U","223","Red","Lightly Played","1"
"Iron Myr","Mirrodin","C","187","Colorless","Lightly Played","1"
"Beast of Burden","8th Edition","R","292","Colorless","Lightly Played","1"
"Inferno","8th Edition","R","196","Red","Lightly Played","1"
"Ancestor's Prophet","Onslaught","R","3","White","Lightly Played","1"
"Quiet Speculation","Judgment","U","49","Blue","Lightly Played","1"
"Putrid Imp","Torment","C","77","Black","Lightly Played","3"
"Noxious Field","Prophecy","U","","Black","Lightly Played","1"
"Saproling Cluster","Nemesis","R","114","Green","Lightly Played","4"
"Memory Jar","Urza's Legacy","R","129","Colorless","Lightly Played","1"
"Scapegoat","Stronghold","U","","White","Lightly Played","1"
"Shard Phoenix","Stronghold","R","","Red","Lightly Played","1"
"Legacy's Allure","Tempest","U","71","Blue","Lightly Played","1"
"Recycle","Tempest","R","248","Green","Lightly Played","1"
"Warmth","Tempest","U","51","White","Lightly Played","1"
"Blight","Fifth Edition","U","","Black","Lightly Played","1"
"Crown of the Ages","Fifth Edition","R","","Colorless","Lightly Played","1"
"Feldon's Cane","Fifth Edition","U","","Colorless","Lightly Played","1"
"Infinite Hourglass","Fifth Edition","R","","Colorless","Lightly Played","1"
"Paradigm Shift","Weatherlight","R","","Blue","Lightly Played","1"
"An-Zerrin Ruins","Homelands","R","","Red","Lightly Played","1"
"Black Knight","Fourth Edition","U","","Black","Lightly Played","2"
"Northern Paladin","Fourth Edition","R","","White","Lightly Played","1"
"Kird Ape","Revised Edition","C","","Red","Lightly Played","1"
"Paper Tiger","Unglued","C","78","Colorless","Lightly Played","2"
"Sandsteppe Citadel","Commander Anthology Volume II","U","264","Colorless","Lightly Played","1"
"Gruul Turf","Planechase Anthology","U","119","Colorless","Lightly Played","1"
"Flickerwisp (Borderless)","Double Masters 2022","U","339","White","Lightly Played","1"
"Freed from the Real","Masters 25","U","58","Blue","Lightly Played","1"
"Pendelhaven","Masters 25","R","244","Colorless","Lightly Played","1"
"Genesis Hydra","Iconic Masters","R","163","Green","Lightly Played","1"
"Brawn","Eternal Masters","U","159","Green","Lightly Played","1"
"Riftsweeper","Modern Masters","U","159","Green","Lightly Played","1"
"Spellstutter Sprite","Modern Masters","C","65","Blue","Lightly Played","1"
"Lyzolda, the Blood Witch","Ravnica Allegiance: Guild Kits","R","65","Black;Red","Lightly Played","1"
"Cleric Token","Gatecrash","T","4","Black;White","Moderately Played","1"
"Young Wolf","Dark Ascension","C","134","Green","Moderately Played","1"
"Brigid, Hero of Kinsbaile","Lorwyn","R","6","White","Moderately Played","1"
"Rootwater Matriarch","10th Edition","R","103","Blue","Moderately Played","1"
"Magus of the Bazaar","Planar Chaos","R","43","Blue","Moderately Played","1"
"Null Profusion","Planar Chaos","R","89","Black","Moderately Played","1"
"Rakdos Signet","Dissension","C","165","Colorless","Moderately Played","1"
"War's Toll","Dissension","R","77","Red","Moderately Played","1"
"Hokori, Dust Drinker","Betrayers of Kamigawa","R","7","White","Moderately Played","1"
"Riptide Laboratory","Onslaught","R","322","Colorless","Moderately Played","1"
"Crazed Firecat","Torment","U","94","Red","Moderately Played","1"
"Contamination","Urza's Saga","R","123","Black","Moderately Played","1"
"Veteran Explorer","Commander","U","177","Green","Moderately Played","1"
"Spellstutter Sprite","Modern Masters","C","65","Blue","Moderately Played","3"
"Demon Token","Duel Decks: Divine vs. Demonic","T","2","Black","Moderately Played","1"
"Kellan Joins Up","Outlaws of Thunder Junction","R","212","Blue;Green;White","Near Mint Foil","1"
"Laughing Jasper Flint","Outlaws of Thunder Junction","R","215","Black;Red","Near Mint Foil","1"
"Primal Command","Outlaws of Thunder Junction: Breaking News","R","31","Green","Near Mint Foil","1"
"Aurelia's Vindicator (Showcase) (Invisible Ink)","Murders at Karlov Manor","M","377","White","Near Mint Foil","1"
"Case of the Stashed Skeleton","Murders at Karlov Manor","R","80","Black","Near Mint Foil","1"
"Mountain (0275)","Murders at Karlov Manor","L","275","Colorless","Near Mint Foil","4"
"Slime Against Humanity","Murders at Karlov Manor","C","177","Green","Near Mint Foil","1"
"Bringer of the Last Gift (Borderless)","The Lost Caverns of Ixalan","R","337","Black","Near Mint Foil","2"
"Cenote Scout","The Lost Caverns of Ixalan","U","178","Green","Near Mint Foil","1"
"Jadelight Spelunker","The Lost Caverns of Ixalan","R","196","Green","Near Mint Foil","1"
"Treasure Map","The Lost Caverns of Ixalan","R","267","Colorless","Near Mint Foil","1"
"Blossoming Tortoise (Extended Art)","Wilds of Eldraine","M","354","Green","Near Mint Foil","2"
"Eriette of the Charmed Apple (Borderless)","Wilds of Eldraine","M","299","Black;White","Near Mint Foil","1"
"Kindred Discovery (Anime Borderless)","Wilds of Eldraine: Enchanting Tales","M","69","Blue","Near Mint Foil","1"
"Utopia Sprawl","Wilds of Eldraine: Enchanting Tales","U","63","Green","Near Mint Foil","3"
"Sigarda, Font of Blessings (Foil Etched)","March of the Machine: The Aftermath","R","147","Green;White","Near Mint Foil","1"
"Chandra, Hope's Beacon (Borderless)","March of the Machine","M","321","Red","Near Mint Foil","1"
"Archfiend of the Dross (Showcase) (Step-and-Compleat Foil)","Phyrexia: All Will Be One","R","434","Black","Near Mint Foil","1"
"Drivnod, Carnage Dominus (Oil Slick Raised Foil)","Phyrexia: All Will Be One","M","350","Black","Near Mint Foil","1"
"Drivnod, Carnage Dominus (Showcase) (Step-and-Compleat Foil)","Phyrexia: All Will Be One","M","437","Black","Near Mint Foil","1"
"Forest (271) - Full Art","Phyrexia: All Will Be One","L","271","Colorless","Near Mint Foil","4"
"Island (263) - Full Art","Phyrexia: All Will Be One","L","263","Colorless","Near Mint Foil","1"
"Koth, Fire of Resistance (Borderless) (Step-and-Compleat Foil)","Phyrexia: All Will Be One","R","446","Red","Near Mint Foil","1"
"Plains (262) - Full Art","Phyrexia: All Will Be One","L","262","Colorless","Near Mint Foil","4"
"Planar Disruption","Phyrexia: All Will Be One","C","28","White","Near Mint Foil","1"
"Swamp (269) - Full Art","Phyrexia: All Will Be One","L","269","Colorless","Near Mint Foil","7"
"The Eternal Wanderer (Borderless)","Phyrexia: All Will Be One","R","335","White","Near Mint Foil","1"
"Thirsting Roots","Phyrexia: All Will Be One","C","185","Green","Near Mint Foil","1"
"Vraan, Executioner Thane (Showcase) (Step-and-Compleat Foil)","Phyrexia: All Will Be One","R","441","Black","Near Mint Foil","1"
"Cityscape Leveler","The Brothers' War","M","233","Colorless","Near Mint Foil","1"
"Hall of Tagsin","The Brothers' War","R","263","Colorless","Near Mint Foil","1"
"Skitterbeam Battalion (Extended Art)","The Brothers' War","M","343","Colorless","Near Mint Foil","1"
"Swamp (282) - Full Art","The Brothers' War","L","282","Colorless","Near Mint Foil","1"
"Cloud Key (Schematic)","The Brothers' War: Retro Frame Artifacts","R","75","Colorless","Near Mint Foil","1"
"Defiler of Vigor (Extended Art)","Dominaria United","R","412","Green","Near Mint Foil","1"
"Zur, Eternal Schemer (Showcase)","Dominaria United","M","327","Black;Blue;White","Near Mint Foil","1"
"Evelyn, the Covetous (Gilded Foil)","Streets of New Capenna","R","371","Black;Blue;Red","Near Mint Foil","1"
"Giada, Font of Hope (Showcase) (Foil Etched)","Streets of New Capenna","R","442","White","Near Mint Foil","2"
"Sanctuary Warden","Streets of New Capenna","M","30","White","Near Mint Foil","1"
"Welcoming Vampire","Innistrad: Crimson Vow","R","46","Colorless","Near Mint Foil","1"
"Den of the Bugbear (Dungeon Module)","Adventures in the Forgotten Realms","R","351","Colorless","Near Mint Foil","1"
"Icingdeath, Frost Tyrant (Borderless)","Adventures in the Forgotten Realms","M","287","White","Near Mint Foil","1"
"Unexpected Windfall","Adventures in the Forgotten Realms","C","164","Red","Near Mint Foil","1"
"Channel (JP Alternate Art) (Foil Etched)","Strixhaven: Mystical Archives","M","113","Green","Near Mint Foil","1"
"Inquisition of Kozilek (Foil Etched)","Strixhaven: Mystical Archives","R","31","Black","Near Mint Foil","1"
"Crippling Fear","Kaldheim","R","82","Black","Near Mint Foil","1"
"Teferi's Ageless Insight","Core Set 2021","R","76","Blue","Near Mint Foil","1"
"Teferi's Tutelage","Core Set 2021","U","78","Blue","Near Mint Foil","1"
"Temple of Epiphany","Core Set 2021","R","252","Colorless","Near Mint Foil","1"
"Temple of Malady (Extended Art)","Core Set 2021","R","388","Colorless","Near Mint Foil","1"
"Vivien's Arkbow","War of the Spark","R","181","Green","Near Mint Foil","1"
"Bishop of the Bloodstained","Ixalan","U","91","Black","Near Mint Foil","1"
"Stormchaser Mage","Oath of the Gatewatch","U","159","Blue;Red","Near Mint Foil","1"
"Plains (231)","Magic 2013 (M13)","L","231","Colorless","Near Mint Foil","1"
"Emeria, the Sky Ruin","Zendikar","R","213","Colorless","Near Mint Foil","1"
"Faceless Devourer","Time Spiral","U","108","Black","Near Mint Foil","1"
"Swamp (292)","Time Spiral","L","292","","Near Mint Foil","1"
"Serra Angel","9th Edition","R","","White","Near Mint Foil","1"
"Shoreline Ranger","Scourge","C","51","Blue","Near Mint Foil","1"
"Clown Robot (003) // Balloon Double-sided Token","Unfinity","T","","Colorless","Near Mint Foil","2"
"Information Booth (4-6)","Unfinity","U","218","Colorless","Near Mint Foil","1"
"Mountain (238) (Borderless)","Unfinity","L","238","Colorless","Near Mint Foil","1"
"Mountain (494) (Borderless) (Galaxy Foil)","Unfinity","L","494","Colorless","Near Mint Foil","1"
"Brimstone Volley","Conspiracy","C","138","Red","Near Mint Foil","1"
"Archivist of Oghma (Extended Art)","Commander Legends: Battle for Baldur's Gate","R","553","White","Near Mint Foil","1"
"Kindred Discovery (Extended Art)","Commander Legends: Battle for Baldur's Gate","R","565","Blue","Near Mint Foil","1"
"Miirym, Sentinel Wyrm (Showcase)","Commander Legends: Battle for Baldur's Gate","R","431","Blue;Green;Red","Near Mint Foil","2"
"Patriar's Seal","Commander Legends: Battle for Baldur's Gate","U","332","Colorless","Near Mint Foil","3"
"White Plume Adventurer","Commander Legends: Battle for Baldur's Gate","R","49","White","Near Mint Foil","1"
"Aurora Phoenix","Commander Legends","R","161","Red","Near Mint Foil","1"
"Prossh, Skyraider of Kher (Foil Etched)","Commander Legends","M","530","Black;Green;Red","Near Mint Foil","1"
"Court of Ardenvale (Extended Art)","Commander: Wilds of Eldraine","R","29","White","Near Mint Foil","2"
"Court of Garenbrig (Extended Art)","Commander: Wilds of Eldraine","R","33","Green","Near Mint Foil","1"
"Haldan, Avid Arcanist","Commander 2020","M","2","Blue","Near Mint Foil","1"
"Arachnogenesis","Commander Masters","R","272","Green","Near Mint Foil","1"
"Arachnogenesis (Borderless)","Commander Masters","R","647","Green","Near Mint Foil","1"
"Champion's Helm","Commander Masters","R","375","Colorless","Near Mint Foil","1"
